family_id,sample_id,pixel_x,pixel_y,offset_x,offset_y,family_class,collider_id,boundary_event_count,path_length
oracle_px_0000_38_32:family:0:0,oracle_px_0000_38_32,38,32,0,0,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:1:0,oracle_px_0000_38_32,39,32,1,0,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:-1:0,oracle_px_0000_38_32,37,32,-1,0,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:0:1,oracle_px_0000_38_32,38,33,0,1,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:0:-1,oracle_px_0000_38_32,38,31,0,-1,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:1:1,oracle_px_0000_38_32,39,33,1,1,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:1:-1,oracle_px_0000_38_32,39,31,1,-1,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:-1:1,oracle_px_0000_38_32,37,33,-1,1,stable_family,0,0,6.401809
oracle_px_0000_38_32:family:-1:-1,oracle_px_0000_38_32,37,31,-1,-1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:0:0,oracle_px_0001_39_32,39,32,0,0,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:1:0,oracle_px_0001_39_32,40,32,1,0,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:-1:0,oracle_px_0001_39_32,38,32,-1,0,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:0:1,oracle_px_0001_39_32,39,33,0,1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:0:-1,oracle_px_0001_39_32,39,31,0,-1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:1:1,oracle_px_0001_39_32,40,33,1,1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:1:-1,oracle_px_0001_39_32,40,31,1,-1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:-1:1,oracle_px_0001_39_32,38,33,-1,1,stable_family,0,0,6.401809
oracle_px_0001_39_32:family:-1:-1,oracle_px_0001_39_32,38,31,-1,-1,stable_family,0,0,6.401809
oracle_px_0002_40_32:family:0:0,oracle_px_0002_40_32,40,32,0,0,stable_family,0,0,6.401809
oracle_px_0002_40_32:family:1:0,oracle_px_0002_40_32,41,32,1,0,stable_family,0,0,6.401809
oracle_px_0002_40_32:family:-1:0,oracle_px_0002_40_32,39,32,-1,0,stable_family,0,0,6.401809
oracle_px_0002_40_32:family:0:1,oracle_px_0002_40_32,40,33,0,1,stable_family,0,0,6.401809
