anchor_id,object_id,step_length,reference_step_length,projected_x,projected_y,projected_tile,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,hit,collider_id,domain_id,boundary_events,portal_events,hit_distance,path_length,decision_risk,matched_reference_decision,required_precision_label
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,90,2,160,90,0,0,Centroid,-1,65,0,0,1,25887245710,-1,0,0,7.988711,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,90,2,160,90,0,0,Centroid,-1,65,0,0,1,25887245710,-1,0,0,7.988643,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,90,2,160,90,0,0,Centroid,-1,65,0,0,1,25887245710,-1,0,0,7.988668,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,90,2,160,90,0,0,Centroid,-1,65,0,0,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,161,90,2,160,90,1,0,Centroid,-1,65.00769,1,0,1,25887245710,-1,0,0,7.986324,7.994987,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,161,90,2,160,90,1,0,Centroid,-1,65.00769,1,0,1,25887245710,-1,0,0,7.986314,7.987471,2.247442,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,161,90,2,160,90,1,0,Centroid,-1,65.00769,1,0,1,25887245710,-1,0,0,7.986296,7.987453,2.247439,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,161,90,2,160,90,1,0,Centroid,-1,65.00769,1,0,0,0,-1,0,0,-1,6.403081,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,159,90,2,160,90,1,3.141593,Centroid,-1,65.00769,-1,0,1,25887245710,-1,0,0,7.991127,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,159,90,2,160,90,1,3.141593,Centroid,-1,65.00769,-1,0,1,25887245710,-1,0,0,7.991059,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,159,90,2,160,90,1,3.141593,Centroid,-1,65.00769,-1,0,1,25887245710,-1,0,0,7.991085,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,159,90,2,160,90,1,3.141593,Centroid,-1,65.00769,-1,0,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,91,2,160,90,1,1.570796,Centroid,-1,64,0,1,1,25887245710,-1,0,0,7.988837,7.99497,2.248602,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,91,2,160,90,1,1.570796,Centroid,-1,64,0,1,1,25887245710,-1,0,0,7.988768,8.000011,2.24939,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,91,2,160,90,1,1.570796,Centroid,-1,64,0,1,1,25887245710,-1,0,0,7.988731,7.993763,2.248414,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,91,2,160,90,1,1.570796,Centroid,-1,64,0,1,0,0,-1,0,0,-1,6.403136,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,89,2,160,90,1,-1.570796,Centroid,-1,65,0,-1,1,25887245710,-1,0,0,7.988711,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,89,2,160,90,1,-1.570796,Centroid,-1,65,0,-1,1,25887245710,-1,0,0,7.988643,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,89,2,160,90,1,-1.570796,Centroid,-1,65,0,-1,1,25887245710,-1,0,0,7.988668,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,89,2,160,90,1,-1.570796,Centroid,-1,65,0,-1,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,161,91,2,160,90,1.414214,0.785398,Centroid,-1,64.00781,1,1,1,25887245710,-1,0,0,7.986445,7.994982,2.2486,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,161,91,2,160,90,1.414214,0.785398,Centroid,-1,64.00781,1,1,1,25887245710,-1,0,0,7.986381,7.987521,2.247434,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,161,91,2,160,90,1.414214,0.785398,Centroid,-1,64.00781,1,1,1,25887245710,-1,0,0,7.98633,7.987536,2.247437,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,161,91,2,160,90,1.414214,0.785398,Centroid,-1,64.00781,1,1,0,0,-1,0,0,-1,6.403159,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,161,89,2,160,90,1.414214,-0.785398,Centroid,-1,65.00769,1,-1,1,25887245710,-1,0,0,7.986324,7.994987,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,161,89,2,160,90,1.414214,-0.785398,Centroid,-1,65.00769,1,-1,1,25887245710,-1,0,0,7.986314,7.987471,2.247442,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,161,89,2,160,90,1.414214,-0.785398,Centroid,-1,65.00769,1,-1,1,25887245710,-1,0,0,7.986296,7.987453,2.247439,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,161,89,2,160,90,1.414214,-0.785398,Centroid,-1,65.00769,1,-1,0,0,-1,0,0,-1,6.403081,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,159,91,2,160,90,1.414214,2.356194,Centroid,-1,64.00781,-1,1,1,25887245710,-1,0,0,7.991253,7.99497,2.248602,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,159,91,2,160,90,1.414214,2.356194,Centroid,-1,64.00781,-1,1,1,25887245710,-1,0,0,7.991184,8.000011,2.24939,0,0.003125
