x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
63,26,63,27,1,0,8.788898,0.0,0.0,0,700.0,1.0,3.0
64,26,64,27,1,0,8.778523,0.0,0.0,0,700.0,1.0,3.0
65,26,65,27,1,0,8.768315,0.0,0.0,0,700.0,1.0,3.0
66,26,66,27,1,0,8.758108,0.0,0.0,0,700.0,1.0,3.0
67,26,67,27,1,0,8.748084,0.0,0.0,0,700.0,1.0,3.0
68,26,68,27,1,0,8.738115,0.0,0.0,0,700.0,1.0,3.0
69,26,69,27,1,0,8.728205,0.0,0.0,0,700.0,1.0,3.0
70,26,70,27,1,0,8.718472,0.0,0.0,0,700.0,1.0,3.0
71,26,71,27,1,0,8.708797,0.0,0.0,0,700.0,1.0,3.0
72,26,72,27,1,0,8.699176,0.0,0.0,0,700.0,1.0,3.0
73,26,73,27,1,0,8.689734,0.0,0.0,0,700.0,1.0,3.0
74,26,74,27,1,0,8.680346,0.0,0.0,0,700.0,1.0,3.0
75,26,75,27,1,0,8.671029,0.0,0.0,0,700.0,1.0,3.0
76,26,76,27,1,0,8.661875,0.0,0.0,0,700.0,1.0,3.0
77,26,77,27,1,0,8.652772,0.0,0.0,0,700.0,1.0,3.0
78,26,78,27,1,0,8.643796,0.0,0.0,0,700.0,1.0,3.0
79,26,79,27,1,0,8.634936,0.0,0.0,0,700.0,1.0,3.0
80,26,80,27,1,0,8.626122,0.0,0.0,0,700.0,1.0,3.0
81,26,81,27,1,0,8.617438,0.0,0.0,0,700.0,1.0,3.0
82,26,82,27,1,0,8.608861,0.0,0.0,0,700.0,1.0,3.0
83,26,83,27,1,0,8.600393,0.0,0.0,0,700.0,1.0,3.0
84,26,84,27,1,0,8.592042,0.0,0.0,0,700.0,1.0,3.0
85,26,85,27,1,0,8.58376,0.0,0.0,0,700.0,1.0,3.0
86,26,86,27,1,0,8.575582,0.0,0.0,0,700.0,1.0,3.0
87,26,87,27,1,0,8.56752,0.0,0.0,0,700.0,1.0,3.0
88,26,88,27,1,0,8.559565,0.0,0.0,0,700.0,1.0,3.0
89,26,89,27,1,0,8.551676,0.0,0.0,0,700.0,1.0,3.0
90,26,90,27,1,0,8.543905,0.0,0.0,0,700.0,1.0,3.0
91,26,91,27,1,0,8.536289,0.0,0.0,0,700.0,1.0,3.0
92,26,92,27,1,0,8.528738,0.0,0.0,0,700.0,1.0,3.0
93,26,93,27,1,0,8.521251,0.0,0.0,0,700.0,1.0,3.0
94,26,94,27,1,0,8.51392,0.0,0.0,0,700.0,1.0,3.0
95,26,95,27,1,0,8.506716,0.0,0.0,0,700.0,1.0,3.0
96,26,96,27,1,0,8.499551,0.0,0.0,0,700.0,1.0,3.0
97,26,97,27,1,0,8.492565,0.0,0.0,0,700.0,1.0,3.0
98,26,98,27,1,0,8.485632,0.0,0.0,0,700.0,1.0,3.0
99,26,99,27,1,0,8.478823,0.0,0.0,0,700.0,1.0,3.0
