anchor_id,object_id,step_length,reference_step_length,projected_x,projected_y,projected_tile,radial_offset_x,radial_offset_y,hit,collider_id,domain_id,boundary_events,portal_events,hit_distance,path_length,decision_risk,matched_reference_decision,required_precision_label
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,90,2,0,0,1,25887245710,-1,0,0,7.988711,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,90,2,0,0,1,25887245710,-1,0,0,7.988643,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,90,2,0,0,1,25887245710,-1,0,0,7.988668,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,90,2,0,0,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,161,90,2,1,0,1,25887245710,-1,0,0,7.986324,7.994987,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,161,90,2,1,0,1,25887245710,-1,0,0,7.986314,7.987471,2.247442,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,161,90,2,1,0,1,25887245710,-1,0,0,7.986296,7.987453,2.247439,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,161,90,2,1,0,0,0,-1,0,0,-1,6.403081,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,159,90,2,-1,0,1,25887245710,-1,0,0,7.991127,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,159,90,2,-1,0,1,25887245710,-1,0,0,7.991059,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,159,90,2,-1,0,1,25887245710,-1,0,0,7.991085,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,159,90,2,-1,0,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,91,2,0,1,1,25887245710,-1,0,0,7.988837,7.99497,2.248602,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,91,2,0,1,1,25887245710,-1,0,0,7.988768,8.000011,2.24939,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,91,2,0,1,1,25887245710,-1,0,0,7.988731,7.993763,2.248414,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,91,2,0,1,0,0,-1,0,0,-1,6.403136,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,89,2,0,-1,1,25887245710,-1,0,0,7.988711,7.994978,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,89,2,0,-1,1,25887245710,-1,0,0,7.988643,8.000019,2.249403,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,89,2,0,-1,1,25887245710,-1,0,0,7.988668,7.993708,2.248417,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,89,2,0,-1,0,0,-1,0,0,-1,6.403074,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,162,90,2,2,0,1,25887245710,-1,0,0,7.983944,7.995028,2.248612,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,162,90,2,2,0,1,25887245710,-1,0,0,7.983937,7.987507,2.247438,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,162,90,2,2,0,1,25887245710,-1,0,0,7.983902,7.987508,2.247438,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,162,90,2,2,0,0,0,-1,0,0,-1,6.403131,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,158,90,2,-2,0,1,25887245710,-1,0,0,7.993574,7.994987,2.248616,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,158,90,2,-2,0,1,25887245710,-1,0,0,7.993563,7.99997,2.249394,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,158,90,2,-2,0,1,25887245710,-1,0,0,7.993546,7.993703,2.248415,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,158,90,2,-2,0,0,0,-1,0,0,-1,6.403081,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,92,2,0,2,1,25887245710,-1,0,0,7.989021,7.995019,2.248601,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,92,2,0,2,1,25887245710,-1,0,0,7.989039,7.999974,2.249375,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,92,2,0,2,1,25887245710,-1,0,0,7.989019,7.993709,2.248397,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,92,2,0,2,0,0,-1,0,0,-1,6.403179,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,88,2,0,-2,1,25887245710,-1,0,0,7.988837,7.99497,2.248602,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,88,2,0,-2,1,25887245710,-1,0,0,7.988768,8.000011,2.24939,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,88,2,0,-2,1,25887245710,-1,0,0,7.988731,7.993763,2.248414,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,88,2,0,-2,0,0,-1,0,0,-1,6.403136,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,164,90,2,4,0,1,25887245710,-1,0,0,7.979438,7.979969,2.246249,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,164,90,2,4,0,1,25887245710,-1,0,0,7.979408,7.987472,2.247421,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,164,90,2,4,0,1,25887245710,-1,0,0,7.979377,7.981217,2.246444,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,164,90,2,4,0,0,0,-1,0,0,-1,6.403189,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,156,90,2,-4,0,1,25887245710,-1,0,0,7.998569,8.010017,2.250943,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,156,90,2,-4,0,1,25887245710,-1,0,0,7.998583,7.999976,2.249375,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,156,90,2,-4,0,1,25887245710,-1,0,0,7.998476,8.000048,2.249386,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,156,90,2,-4,0,0,0,-1,0,0,-1,6.403185,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,94,2,0,4,1,25887245710,-1,0,0,7.989877,7.994982,2.248608,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,94,2,0,4,1,25887245710,-1,0,0,7.989832,8,2.249392,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,94,2,0,4,1,25887245710,-1,0,0,7.98972,7.993826,2.248427,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,94,2,0,4,0,0,-1,0,0,-1,6.403117,0,1,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.015,0.003125,160,86,2,0,-4,1,25887245710,-1,0,0,7.989378,7.995013,2.248613,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.0125,0.003125,160,86,2,0,-4,1,25887245710,-1,0,0,7.989373,7.999991,2.24939,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.00625,0.003125,160,86,2,0,-4,1,25887245710,-1,0,0,7.989338,7.99374,2.248414,0,0.003125
geometry:25836914057:centroid,geometry:25836914057,0.003125,0.003125,160,86,2,0,-4,0,0,-1,0,0,-1,6.403117,0,1,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.015,0.003125,67,60,1,0,0,1,25937577361,-1,0,0,8.147652,8.159986,2.27437,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.0125,0.003125,67,60,1,0,0,1,25937577361,-1,0,0,8.147581,8.150026,2.272815,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.00625,0.003125,67,60,1,0,0,1,25937577361,-1,0,0,8.147548,8.150033,2.272816,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.003125,0.003125,67,60,1,0,0,0,0,-1,0,0,-1,6.403153,0,1,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.015,0.003125,68,60,1,1,0,1,25937577361,-1,0,0,8.150216,8.159988,2.274384,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.0125,0.003125,68,60,1,1,0,1,25937577361,-1,0,0,8.150203,8.16247,2.274771,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.00625,0.003125,68,60,1,1,0,1,25937577361,-1,0,0,8.150191,8.156202,2.273793,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.003125,0.003125,68,60,1,1,0,0,0,-1,0,0,-1,6.403085,0,1,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.015,0.003125,66,60,1,-1,0,1,25937577361,-1,0,0,8.148698,8.159982,2.274369,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.0125,0.003125,66,60,1,-1,0,1,25937577361,-1,0,0,8.148629,8.150015,2.272812,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.00625,0.003125,66,60,1,-1,0,1,25937577361,-1,0,0,8.148677,8.14995,2.272802,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.003125,0.003125,66,60,1,-1,0,0,0,-1,0,0,-1,6.403154,0,1,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.015,0.003125,67,61,1,0,1,1,25937577361,-1,0,0,8.151549,8.159994,2.274383,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.0125,0.003125,67,61,1,0,1,1,25937577361,-1,0,0,8.151527,8.162479,2.274771,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.00625,0.003125,67,61,1,0,1,1,25937577361,-1,0,0,8.151515,8.156214,2.273793,0,0.003125
geometry:25937577361:centroid,geometry:25937577361,0.003125,0.003125,67,61,1,0,1,0,0,-1,0,0,-1,6.403092,0,1,0.003125
